coll_nom;coll_siret;code_commune;commune_nom;code_secteur;secteur_nom;code_iris;iris_nom;code_batiment;code_rivoli;voie_nom;code_site;id_nid;protocole;nid_support;nid_espece;nid_traite;nid_nb;nid_nb_oeuf;nid_nb_poussin;annee;long_rgf93cc48;lat_rgf93cc48;long;lat;source;date_der_maj;geo_shape;geo_point_2d
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210902;Merville;BATIMENT0000000290412086;56121_3890;Avenue de la Marne;458;383;Stérilisation;Toit plat;Argenté;Oui;1;2.0;0.0;2017;1222999.8338;7191328.251;-3.3683329689999897;47.744704035000005;Ville de Lorient;2017-05-18;"{""coordinates"": [-3.368332968662467, 47.744704034614365], ""type"": ""Point""}";47.744704034614365, -3.368332968662467
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210903;Polygone;BATIMENT0000000290408460;56121_2303;Avenue général Charles De Gaulle;300;221;Stérilisation;Toit plat;Argenté;Oui;1;3.0;0.0;2017;1222594.7542;7190948.696;-3.37329856299999;47.741000973;Ville de Lorient;2017-05-15;"{""coordinates"": [-3.3732985628642966, 47.74100097296961], ""type"": ""Point""}";47.74100097296961, -3.3732985628642966
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210102;Aristide Briand;BATIMENT0000000290412664;56121_4260;Rue de la Patrie;275;194;Stérilisation;Cheminée;Argenté;Oui;1;3.0;0.0;2017;1223487.9176;7191690.0004;-3.362243869;47.748308815;Ville de Lorient;2017-05-15;"{""coordinates"": [-3.3622438689016714, 47.74830881547172], ""type"": ""Point""}";47.74830881547172, -3.3622438689016714
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407034;56121_2180;Rue François Toullec;538;463;Stérilisation;Toit pentu;Argenté;Oui;1;2.0;0.0;2017;1222277.6162;7190122.0874;-3.3766024120000098;47.733355699;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.3766024123417893, 47.7333556985131], ""type"": ""Point""}";47.7333556985131, -3.3766024123417893
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407034;56121_2180;Rue François Toullec;538;464;Stérilisation;Toit pentu;Argenté;Oui;1;3.0;0.0;2017;1222277.6162;7190122.0874;-3.3766024120000098;47.733355699;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.3766024123417893, 47.7333556985131], ""type"": ""Point""}";47.7333556985131, -3.3766024123417893
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210901;Zone Portuaire;BATIMENT0000000290407034;56121_2180;Rue François Toullec;538;465;Stérilisation;Toit pentu;Argenté;Oui;1;3.0;0.0;2017;1222277.6162;7190122.0874;-3.3766024120000098;47.733355699;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.3766024123417893, 47.7333556985131], ""type"": ""Point""}";47.7333556985131, -3.3766024123417893
Ville de Lorient;21560121200016;56121;Lorient;3;Kervénanec - Le Ter - Lanveur;561210703;Kreisker;BATIMENT0000000290403347;56121_4310;Rue Paul François;488;400;Stérilisation;Toit pentu;Argenté;Oui;1;3.0;0.0;2017;1221482.8964;7191116.7661;-3.3882594440000298;47.741680781;Ville de Lorient;2017-05-18;"{""coordinates"": [-3.3882594440658145, 47.74168078086822], ""type"": ""Point""}";47.74168078086822, -3.3882594440658145
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210902;Merville;BATIMENT0000000290409101;56121_2850;Rue Jeanne d'Arc;434;368;Stérilisation;Toit pentu;Argenté;Oui;1;3.0;0.0;2017;1222701.8204;7191367.8179;-3.37233715799999;47.744837477000004;Ville de Lorient;2017-05-18;"{""coordinates"": [-3.3723371576015126, 47.74483747733163], ""type"": ""Point""}";47.74483747733163, -3.3723371576015126
Ville de Lorient;21560121200016;56121;Lorient;3;Kervénanec - Le Ter - Lanveur;561210302;Hôpital Kerforn;BATIMENT0000000290414148;56121_0160;Rue vice-amiral Bouvet;490;402;Stérilisation;Toit pentu;Argenté;Oui;1;3.0;0.0;2017;1222577.897;7191923.0056;-3.37459558199998;47.74972211;Ville de Lorient;2017-05-18;"{""coordinates"": [-3.374595581761039, 47.74972211010231], ""type"": ""Point""}";47.74972211010231, -3.374595581761039
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210103;L'Orientis;BATIMENT0000000292406834;56121_3940;Rue de Melun;575;490;Stérilisation;Fibro;Argenté;Oui;1;1.0;2.0;2017;1223648.454;7192499.6907;-3.3610000859999896;47.75568594;Ville de Lorient;2017-05-22;"{""coordinates"": [-3.361000085877657, 47.755685940315836], ""type"": ""Point""}";47.755685940315836, -3.361000085877657
Ville de Lorient;21560121200016;56121;Lorient;5;Bois-du-château - Le Rouho - Le Manio - Kerentrech;561210502;Parc du Scorff;BATIMENT0000000290418546;56121_3535;Rue Léo Delibes;651;589;Stérilisation;Toit plat;Argenté;Oui;1;2.0;0.0;2017;1222694.8004;7193509.552;-3.37478937899999;47.764030641999994;Ville de Lorient;2017-05-26;"{""coordinates"": [-3.37478937917192, 47.76403064219937], ""type"": ""Point""}";47.76403064219937, -3.37478937917192
Ville de Lorient;21560121200016;56121;Lorient;5;Bois-du-château - Le Rouho - Le Manio - Kerentrech;561210502;Parc du Scorff;BATIMENT0000000290418546;56121_3535;Rue Léo Delibes;651;590;Stérilisation;Toit plat;Argenté;Oui;1;1.0;0.0;2017;1222694.8004;7193509.552;-3.37478937899999;47.764030641999994;Ville de Lorient;2017-05-26;"{""coordinates"": [-3.37478937917192, 47.76403064219937], ""type"": ""Point""}";47.76403064219937, -3.37478937917192
